Word,Reading,Translation,Category
大きい,おおきい,grande,adjective
小さい,ちいさい,pequeño,adjective
古い,ふるい,antiguo / viejo,adjective
新しい,あたらしい,nuevo,adjective
安い,やすい,barato,adjective
高い,たかい,caro / alto,adjective
遠い,とおい,lejos,adjective
近い,ちかい,cerca,adjective
速い,はやい,rápido,adjective
早い,はやい,temprano,adjective
遅い,おそい,tarde / lento,adjective
長い,ながい,largo,adjective
短い,みじかい,corto,adjective
広い,ひろい,amplio,adjective
狭い,せまい,estrecho,adjective
良い,いい,bueno,adjective
悪い,わるい,malo,adjective
多い,おおい,mucho / muchos,adjective
少ない,すくない,poco / pocos,adjective
