Word,Reading,Translation,Category
泊まる (泊まります),とまる,to stay overnight,verb
ネット,ねっと,internet,noun
探す (探します),さがす,buscar,verb
クレジットカード,くれじっとかーど,credit card,noun
鍵,かぎ,key,noun
チェックイン (します),ちぇっくいん,check-in,noun
隣,となり,al lado de,noun
氷,こおり,ice,noun
ルームサービス,るーむさーびす,room service,noun
パスワード,ぱすわーど,password,noun
前,まえ,in front of,noun
タオル,たおる,towel,noun
スパ,すぱ,spa,noun
無料,むりょう,gratis,adjective
後ろ,うしろ,detrás,noun
牛乳,ぎゅうにゅう,leche,noun
トースト,とーすと,toast,noun
チェックアウト (します),ちぇっくあうと,checkout,noun
コーヒーメーカー,こーひーめーかー,coffee maker,noun
